Phase,Date,PD Level EFD-0146,PD Level EFD-0116,Time Index EFD-0146,Time Index EFD-0116,Location(m) from EFD-0146,Nearest Pole Location,Pole LIS number,T2 EFD-0146,T2 EFD-0116,W2 EFD-0146,W2 EFD-0116,MaxCountSquared EFD-0146,MaxCountSquared EFD-0116,MaxVoltSquared EFD-0146,MaxVoltSquared EFD-0116,Day
Red,4/06/2018 1:27:23 PM +10:00,0.003585815,0.006561279,0.028259552,0.028252396,2762.964349,2793,5111863,3.62857E-14,1.43566E-14,3.27628E+15,4.79659E+15,37,1,-1.39757E-05,4.30504E-05,35.56068
Blue,4/06/2018 1:37:23 PM +10:00,0.004196167,0.007171631,0.113379768,0.11338288,1235.953995,1401,5111291,2.6075E-14,1.4565E-14,3.55157E+15,4.90836E+15,2,1,-1.89117E-05,5.14323E-05,35.56763
Red,4/06/2018 1:48:15 PM +10:00,0.003585815,0.005950928,0.01141742,0.011424852,571.8407844,544,5111289,2.86515E-14,2.15982E-14,3.69219E+15,4.44667E+15,27,2,-1.39757E-05,3.54135E-05,35.57517
White,4/06/2018 2:27:40 PM +10:00,0.002975464,0.004119873,0.070073396,0.070081276,508.3360159,544,5111289,3.81977E-14,1.73066E-14,3.08431E+15,4.22772E+15,6,4,-1.39757E-05,1.69734E-05,35.60255
Blue,5/06/2018 10:47:26 AM +10:00,0.011520386,0.009002686,0.128863928,0.12886646,1325.070168,1401,5111291,1.11207E-14,1.29713E-14,4.4448E+15,4.53E+15,5,2,-0.000136258,8.10483E-05,36.44961
Red,5/06/2018 10:48:50 AM +10:00,0.010910034,0.009002686,0.009349524,0.00935498,868.0456735,897,5111290,1.22933E-14,1.32421E-14,4.34349E+15,4.53092E+15,37,5,-0.000122382,8.10483E-05,36.45058
Red,5/06/2018 10:54:13 AM +10:00,0.010299683,0.009002686,0.009610424,0.00961518,973.034264,897,5111290,1.16306E-14,1.23322E-14,4.40125E+15,4.6464E+15,2,6,-0.000122382,8.10483E-05,36.45432
White,5/06/2018 11:13:51 AM +10:00,0.009689331,0.009613037,0.085427836,0.085432024,1064.845603,897,5111290,1.23213E-14,1.13878E-14,4.33893E+15,4.55289E+15,66,1,-9.68634E-05,9.24105E-05,36.46795
Red,5/06/2018 12:06:08 PM +10:00,0.008468628,0.009613037,0.013434672,0.013423584,3349.454642,3370,3919767,1.51887E-14,1.19997E-14,4.08821E+15,4.67195E+15,32,1,-8.52218E-05,9.24105E-05,36.50426
Blue,5/06/2018 12:07:03 PM +10:00,0.007858276,0.010223389,0.109353492,0.109343228,3234.577935,3132,5111864,1.56636E-14,4.28859E-14,4.07846E+15,6.50392E+15,28,2,-7.43254E-05,0.000104518,36.50489
Red,5/06/2018 1:09:58 PM +10:00,0.004196167,0.003509521,0.009361936,0.00936116,1802.585596,1696,5111292,2.43419E-14,5.34494E-14,3.51202E+15,6.29446E+15,2,1,-2.45927E-05,-1.45519E-05,36.54859
Red,5/06/2018 1:16:04 PM +10:00,0.004196167,0.004730225,0.009176344,0.009170692,2534.080012,2445,5111862,3.933E-14,5.04883E-14,3.06704E+15,7.37102E+15,53,1,-2.45927E-05,2.2375E-05,36.55283
Red,5/06/2018 1:50:01 PM +10:00,0.002365112,0.004730225,0.028475368,0.028467096,2930.484596,2793,5111863,6.29216E-14,4.75775E-14,1.8871E+15,7.89998E+15,71,1,-6.33881E-06,2.2375E-05,36.5764
White,5/06/2018 1:59:43 PM +10:00,0.002365112,0.004119873,0.059337348,0.059338724,1487.642553,1401,5111291,3.44515E-14,4.95246E-14,3.3747E+15,4.52815E+15,38,1,-6.33881E-06,1.69734E-05,36.58314
Blue,5/06/2018 6:10:10 PM +10:00,0.002365112,0.004119873,0.108083368,0.108090512,613.6592116,544,5111289,6.21825E-14,4.75848E-14,4.43294E+15,4.44587E+15,1,2,-6.33881E-06,1.69734E-05,36.75706
Blue,5/06/2018 7:13:35 PM +10:00,0.002365112,0.004119873,0.13687192,0.136878732,663.1182488,544,5111289,4.08537E-14,3.15084E-14,6.56037E+15,6.59683E+15,3,1,-6.33881E-06,1.69734E-05,36.8011
Blue,5/06/2018 7:55:39 PM +10:00,0.002365112,0.004119873,0.108086612,0.108084688,1973.275602,2007,5111293,5.8425E-14,4.75633E-14,4.45286E+15,3.81883E+15,9,4,-6.33881E-06,1.69734E-05,36.83031
Red,5/06/2018 8:06:17 PM +10:00,0.002365112,0.004119873,0.015473976,0.015479012,929.6839492,897,5111290,4.22454E-14,3.38458E-14,6.33826E+15,4.36534E+15,3,3,-6.33881E-06,1.69734E-05,36.8377
White,6/06/2018 5:34:36 AM +10:00,0.002365112,0.004119873,0.069423224,0.069415736,2801.993172,2793,5111863,4.66576E-14,4.73732E-14,5.76237E+15,3.81771E+15,3,1,-6.33881E-06,1.69734E-05,37.23236
Red,6/06/2018 8:12:00 AM +10:00,0.002975464,0.007781982,0.03237172,0.03236542,2625.008424,2793,5111863,3.07415E-14,4.94203E-14,4.14625E+15,6.12021E+15,7,9,-9.78471E-06,6.05593E-05,37.34167
Red,6/06/2018 8:16:49 AM +10:00,0.009078979,0.009002686,0.016556668,0.016557064,1622.798596,1696,5111292,1.45274E-14,1.36154E-14,4.2813E+15,4.92923E+15,1,1,8.24279E-05,8.10483E-05,37.34501
Red,6/06/2018 8:52:52 AM +10:00,0.011520386,0.009002686,0.031898016,0.031889016,3030.715105,3132,5111864,1.05111E-14,1.14814E-14,4.4932E+15,4.76303E+15,20,1,-0.000136258,8.10483E-05,37.37004
White,6/06/2018 8:57:53 AM +10:00,0.012130737,0.009002686,0.082723404,0.082726268,1244.132234,1401,5111291,1.05468E-14,1.46596E-14,4.45186E+15,4.67334E+15,1,1,-0.00015088,8.10483E-05,37.37353
White,6/06/2018 9:25:39 AM +10:00,0.011520386,0.009002686,0.063215356,0.063221876,699.411299,544,5111289,1.02931E-14,1.42968E-14,4.44738E+15,4.65899E+15,6,4,-0.00015088,8.10483E-05,37.39281
Blue,6/06/2018 10:01:47 AM +10:00,0.011520386,0.010223389,0.1233284,0.123331564,1215.72633,1401,5111291,1.13667E-14,1.19706E-14,4.31441E+15,4.71313E+15,130,1,-0.00015088,0.000104518,37.4179
Blue,6/06/2018 10:53:26 AM +10:00,0.010299683,0.009613037,0.114413052,0.114418524,880.3297858,897,5111290,1.31639E-14,1.32669E-14,4.27474E+15,4.6517E+15,25,1,-0.00010925,9.24105E-05,37.45377
White,6/06/2018 11:11:49 AM +10:00,0.009078979,0.009613037,0.07254642,0.072536816,3135.790062,3132,5111864,1.3245E-14,1.18332E-14,4.33006E+15,4.72442E+15,3,1,-9.68634E-05,9.24105E-05,37.46654
Blue,6/06/2018 11:52:09 AM +10:00,0.002975464,0.004730225,0.122398044,0.122403896,824.1617888,897,5111290,3.87405E-14,4.05661E-14,3.54552E+15,6.44466E+15,1,1,-1.39757E-05,2.2375E-05,37.49455
White,6/06/2018 12:12:08 PM +10:00,0.002975464,0.004730225,0.086191652,0.086182488,3067.154479,3132,5111864,4.38375E-14,4.56841E-14,2.34597E+15,7.45838E+15,11,1,-1.39757E-05,-2.53553E-05,37.50843
Red,6/06/2018 12:28:21 PM +10:00,0.002975464,0.005340576,0.032119212,0.032117316,1971.809784,2007,5111293,4.1373E-14,2.29113E-14,2.72765E+15,4.21512E+15,4,1,-1.39757E-05,2.85218E-05,37.51969
White,6/06/2018 1:23:25 PM +10:00,0.002975464,0.005340576,0.058862796,0.058866188,1178.105668,1401,5111291,4.37621E-14,1.63988E-14,3.13413E+15,4.93458E+15,45,3,-1.39757E-05,2.85218E-05,37.55793
White,6/06/2018 1:52:05 PM +10:00,0.002975464,0.004119873,0.061814556,0.061808216,2637.338029,2793,5111863,5.3648E-14,3.32441E-14,2.37167E+15,4.70893E+15,75,3,-1.39757E-05,-1.95811E-05,37.57784
Red,6/06/2018 1:53:53 PM +10:00,0.002975464,0.004730225,0.037951424,0.037961744,137.7012815,0,5111287,4.57366E-14,2.62959E-14,3.52868E+15,5.07291E+15,14,1,-9.78471E-06,2.2375E-05,37.57909
White,6/06/2018 2:33:13 PM +10:00,0.002975464,0.004119873,0.07218464,0.072188016,1177.775559,1401,5111291,4.23975E-14,4.38153E-14,3.06714E+15,6.13658E+15,5,2,-1.39757E-05,1.69734E-05,37.6064
White,7/06/2018 12:36:01 AM +10:00,0.002365112,0.004119873,0.06814026,0.068139864,1737.695042,1696,5111292,6.20016E-14,7.31381E-14,4.91258E+15,6.52312E+15,1,75,-6.33881E-06,1.69734E-05,38.02501
White,7/06/2018 7:46:29 AM +10:00,0.002975464,0.004730225,0.061203872,0.061194996,3010.635122,3132,5111864,3.19175E-14,2.14372E-14,4.25537E+15,4.78582E+15,1,1,8.85339E-06,2.2375E-05,38.32395
White,7/06/2018 9:33:28 AM +10:00,0.002975464,0.010223389,0.075748872,0.075749284,1621.60913,1696,5111292,4.52306E-14,1.45712E-14,3.13517E+15,4.50862E+15,1,1,-9.78471E-06,0.000104518,38.39824
Red,7/06/2018 9:55:50 AM +10:00,0.011520386,0.004119873,0.027005216,0.026997648,2819.084504,2793,5111863,1.17318E-14,2.85796E-14,4.19512E+15,4.5432E+15,34,2,-0.00015088,1.69734E-05,38.41377
White,7/06/2018 10:04:52 AM +10:00,0.011520386,0.009002686,0.072198056,0.07219378,2324.668663,2445,5111862,1.26362E-14,1.32206E-14,4.21301E+15,4.6736E+15,2,4,-0.000166247,8.10483E-05,38.42005
Red,21/03/2018 8:56:22 AM +11:00,0.14831543,0.008544922,0.01627116,0.016283068,57.74949655,0,172,2.39975E-14,8.21132E-14,2.68792E+15,3.13063E+14,,,,,
Red,21/03/2018 8:57:50 AM +11:00,0.126342773,0.009765625,0.0136628,0.013657768,2597.035916,3675,173,2.46036E-14,7.50055E-14,2.57139E+15,2.6662E+14,,,,,
Red,21/03/2018 9:00:58 AM +11:00,0.155029297,0.008544922,0.001296768,0.001301676,1101.65978,0,172,2.43277E-14,8.19585E-14,2.68765E+15,3.85559E+14,,,,,
White,21/03/2018 9:01:10 AM +11:00,0.142822266,0.008544922,0.0513071,0.0513116,1176.477705,0,172,2.49058E-14,8.07884E-14,2.7961E+15,2.61393E+14,,,,,
Red,21/03/2018 9:04:02 AM +11:00,0.150146484,0.009155273,0.026250188,0.02623906,3513.311276,3675,173,2.50176E-14,8.29003E-14,2.60189E+15,2.3352E+14,,,,,
Blue,21/03/2018 9:07:08 AM +11:00,0.003662109,0.008544922,0.10603314,0.106041716,575.9142868,0,172,7.18731E-14,8.29177E-14,1.14189E+15,2.55024E+14,,,,,
White,21/03/2018 9:07:37 AM +11:00,0.012207031,0.009155273,0.050728924,0.050719644,3241.124279,3675,173,6.30557E-14,7.98085E-14,7.47038E+15,3.71282E+14,,,,,
White,21/03/2018 9:08:55 AM +11:00,0.003662109,0.008544922,0.054174328,0.054174304,1853.191675,3675,173,5.87984E-14,7.67069E-14,1.52623E+15,2.81858E+14,,,,,
Blue,21/03/2018 9:11:02 AM +11:00,0.008544922,0.010375977,0.10168314,0.101693616,287.4562654,0,172,8.70132E-14,8.02944E-14,7.3054E+15,1.5964E+15,,,,,
Blue,21/03/2018 9:14:00 AM +11:00,0.004272461,0.008544922,0.10038552,0.100382024,2381.654958,3675,173,5.96578E-14,7.88523E-14,5.61346E+15,3.09681E+14,,,,,
White,21/03/2018 9:27:23 AM +11:00,0.003662109,0.008544922,0.054420404,0.054423704,1351.316707,0,172,6.25002E-14,7.62681E-14,8.58311E+14,2.31268E+14,,,,,
Red,21/03/2018 9:32:40 AM +11:00,0.003662109,0.009765625,0.004725852,0.004725548,1883.854195,3675,173,5.89545E-14,7.70003E-14,1.48974E+15,9.12733E+14,,,,,
White,21/03/2018 9:33:05 AM +11:00,0.004272461,0.009765625,0.057574312,0.057570884,2360.750116,3675,173,5.67965E-14,7.82836E-14,1.40798E+15,1.00228E+15,,,,,
White,21/03/2018 9:34:59 AM +11:00,0.003662109,0.009155273,0.052131356,0.052142436,183.5716013,0,172,7.44652E-14,7.84158E-14,2.63298E+15,1.83572E+14,,,,,
Red,21/03/2018 9:38:14 AM +11:00,0.005493164,0.008544922,0.000031016,0.000042448,122.706281,0,172,7.46935E-14,7.75782E-14,8.29756E+15,2.0415E+14,,,,,
Blue,21/03/2018 9:38:19 AM +11:00,0.003662109,0.008544922,0.100048248,0.100048732,1779.907291,0,172,5.98464E-14,7.99751E-14,1.39729E+15,2.17829E+14,,,,,
White,21/03/2018 9:38:55 AM +11:00,0.004272461,0.008544922,0.050313164,0.050306516,2842.306435,3675,173,6.2429E-14,8.05255E-14,1.13362E+15,2.1269E+14,,,,,
White,21/03/2018 9:39:24 AM +11:00,0.006103516,0.009155273,0.086426196,0.086431232,1095.168313,0,172,6.94869E-14,8.2802E-14,7.08836E+15,2.29043E+14,,,,,
White,21/03/2018 10:01:07 AM +11:00,0.004272461,0.009155273,0.051174528,0.05118462,331.8069883,0,172,4.52151E-14,7.78821E-14,6.49626E+14,1.69108E+14,,,,,
Blue,21/03/2018 10:35:44 AM +11:00,0.003662109,0.008544922,0.116288076,0.11627198,4963.570635,5131,173,5.50917E-14,7.73692E-14,5.24576E+15,2.77957E+14,,,,,
Red,21/03/2018 10:37:08 AM +11:00,0.004882813,0.009155273,0.001907364,0.001895004,4419.486539,5131,173,7.63197E-14,8.18735E-14,7.72583E+15,8.15235E+14,,,,,
Red,21/03/2018 10:39:40 AM +11:00,0.003051758,0.012207031,0.002839676,0.00284252,2139.340076,0,172,7.07336E-14,7.70579E-14,3.03018E+15,4.04125E+15,,,,,
Blue,21/03/2018 10:43:31 AM +11:00,0.003051758,0.008544922,0.100710704,0.100723184,722.9905304,0,172,4.85617E-14,8.17902E-14,2.26549E+15,2.94549E+14,,,,,
Red,21/03/2018 10:45:20 AM +11:00,0.003051758,0.008544922,0.001138828,0.001129048,4032.886082,5131,173,8.35002E-14,7.94424E-14,4.15786E+15,2.29508E+14,,,,,
White,21/03/2018 10:47:12 AM +11:00,0.003051758,0.008544922,0.051736796,0.051752952,161.9704893,0,172,6.46926E-14,7.4758E-14,2.40344E+15,3.04457E+14,,,,,
White,21/03/2018 10:49:30 AM +11:00,0.004882813,0.009155273,0.08721134,0.087214968,2058.24355,0,172,7.35868E-14,7.9811E-14,7.93622E+15,3.34764E+14,,,,,
Blue,21/03/2018 10:51:59 AM +11:00,0.002441406,0.008544922,0.100032988,0.100042816,1136.797321,0,172,5.80512E-14,8.26475E-14,3.81915E+15,2.6069E+14,,,,,
White,21/03/2018 10:52:55 AM +11:00,0.003051758,0.008544922,0.0662357,0.066237756,2287.701379,0,172,7.8468E-14,7.97098E-14,3.04649E+15,2.18222E+14,,,,,
Red,21/03/2018 10:54:13 AM +11:00,0.004272461,0.008544922,0.001344672,0.001351624,1523.34227,0,172,7.32325E-14,8.0344E-14,7.32083E+15,2.30123E+14,,,,,
Red,21/03/2018 10:54:17 AM +11:00,0.003051758,0.008544922,0.0179732,0.017958044,4847.480344,5131,173,5.66708E-14,8.25676E-14,5.77472E+15,2.44161E+14,,,,,
Blue,21/03/2018 10:56:03 AM +11:00,0.002441406,0.008544922,0.100311548,0.100327668,196.1349831,0,172,7.61E-14,7.72149E-14,2.7992E+15,2.56218E+14,,,,,
Blue,21/03/2018 11:58:46 AM +11:00,0.003051758,0.013427734,0.100591036,0.100584936,3123.625494,4347,173,6.73009E-14,5.21164E-14,7.51957E+15,2.09206E+14,,,,,
Red,21/03/2018 12:02:31 PM +11:00,0.002441406,0.01159668,0.000328552,0.000326708,2450.237582,4347,173,5.7396E-14,6.57946E-14,2.93072E+15,1.54726E+14,,,,,
Blue,21/03/2018 12:07:25 PM +11:00,0.003051758,0.010986328,0.100359792,0.100367164,1081.549121,0,172,7.87177E-14,6.72657E-14,4.97319E+15,1.51388E+14,,,,,
Blue,21/03/2018 12:11:42 PM +11:00,0.003051758,0.010986328,0.11873086,0.11873204,2005.618363,0,172,5.93681E-14,7.31035E-14,1.67279E+15,1.41151E+14,,,,,
Red,21/03/2018 12:18:21 PM +11:00,0.003051758,0.010986328,0.005122732,0.005109912,4096.319227,4347,173,7.00327E-14,6.65739E-14,2.38714E+15,1.69402E+14,,,,,
Red,21/03/2018 12:18:44 PM +11:00,0.002441406,0.010986328,0.00115814,0.00116872,586.4454806,0,172,4.53071E-14,6.45503E-14,1.41779E+15,1.00141E+14,,,,,
Blue,21/03/2018 12:20:36 PM +11:00,0.002441406,0.010986328,0.100174452,0.100175024,2084.814808,0,172,8.65025E-14,6.63774E-14,2.22405E+15,1.85854E+14,,,,,
Blue,21/03/2018 12:23:55 PM +11:00,0.002441406,0.010375977,0.107499512,0.1075091,738.0068447,0,172,6.79676E-14,6.75243E-14,2.08133E+15,1.65326E+14,,,,,
White,21/03/2018 12:25:05 PM +11:00,0.002441406,0.010986328,0.05355552,0.05356908,141.4894076,0,172,6.36923E-14,6.67568E-14,1.11475E+15,1.78083E+14,,,,,
Blue,21/03/2018 1:03:24 PM +11:00,0.003662109,0.01159668,0.10124574,0.101239608,3086.618836,4347,173,5.34262E-14,6.82248E-14,1.26583E+15,1.78892E+14,,,,,
Blue,21/03/2018 1:10:22 PM +11:00,0.003051758,0.010375977,0.10393516,0.103943436,928.6062714,0,172,4.78272E-14,6.69069E-14,1.96088E+15,1.64992E+14,,,,,
Blue,21/03/2018 1:10:24 PM +11:00,0.003051758,0.010375977,0.109876328,0.109886416,656.606295,0,172,4.59154E-14,6.77118E-14,1.59883E+15,1.56262E+14,,,,,
White,21/03/2018 1:11:10 PM +11:00,0.003051758,0.01159668,0.060950492,0.0609521,1930.983171,0,172,4.06678E-14,6.54672E-14,1.39868E+15,1.55275E+14,,,,,
White,21/03/2018 1:12:38 PM +11:00,0.003662109,0.010986328,0.083810432,0.083820912,1076.403243,0,172,5.73065E-14,6.87436E-14,4.24632E+15,1.48907E+14,,,,,
Blue,21/03/2018 1:22:37 PM +11:00,0.003051758,0.010986328,0.100098684,0.100096356,3012.556099,5295,173,4.55821E-14,6.68383E-14,1.60262E+15,1.55488E+14,,,,,
Blue,21/03/2018 1:23:49 PM +11:00,0.003051758,0.010375977,0.101304832,0.101311748,1627.604332,0,172,4.47488E-14,6.87611E-14,1.17134E+15,1.41586E+14,,,,,
Blue,21/03/2018 1:26:12 PM +11:00,0.009155273,0.01159668,0.109624556,0.10963516,1078.472395,0,172,1.5838E-14,7.08255E-14,2.62182E+14,1.77163E+14,,,,,
Red,21/03/2018 1:28:08 PM +11:00,0.003051758,0.01159668,0.000590664,0.000579156,4373.827349,5295,173,4.11291E-14,6.75155E-14,1.62201E+15,1.43945E+14,,,,,
Red,21/03/2018 1:40:09 PM +11:00,0.003051758,0.010986328,0.002003832,0.00201398,1125.753022,0,172,4.27411E-14,7.03512E-14,1.8585E+15,1.40796E+14,,,,,
Red,21/03/2018 1:45:55 PM +11:00,0.003051758,0.010986328,0.005434548,0.005442668,1430.711768,0,172,5.0509E-14,6.71977E-14,1.97994E+15,1.23832E+14,,,,,
Red,21/03/2018 1:47:25 PM +11:00,0.003662109,0.01159668,0.00112206,0.001105772,5090.954313,5295,173,3.83067E-14,7.1189E-14,7.32424E+14,1.15712E+14,,,,,
Red,21/03/2018 1:50:51 PM +11:00,0.008544922,0.010986328,0.000210196,0.00021058,2589.946854,0,172,6.13406E-14,6.86687E-14,7.22749E+15,1.65466E+14,,,,,
Red,21/03/2018 1:54:47 PM +11:00,0.004272461,0.01159668,0.025929648,0.025945028,346.3783558,0,172,3.3443E-14,6.81487E-14,6.47384E+14,1.57727E+14,,,,,
Blue,21/03/2018 1:59:25 PM +11:00,0.004272461,0.010986328,0.108702764,0.108696196,3659.702842,5295,173,3.20674E-14,6.84739E-14,7.57739E+14,1.32935E+14,,,,,
Blue,21/03/2018 2:34:16 PM +11:00,0.004272461,0.007324219,0.10228254,0.10228134,1281.580388,2144,173,3.75017E-14,7.01405E-14,6.98331E+14,1.47667E+14,,,,,
Red,21/03/2018 2:35:30 PM +11:00,0.029296875,0.543823242,0.01000844,0.010001676,2089.087332,2144,173,1.578E-14,1.28408E-14,1.04778E+15,2.92988E+15,,,,,
Blue,21/03/2018 2:35:31 PM +11:00,0.025634766,0.434570313,0.130137224,0.130130656,2089.5274,2144,173,1.40488E-14,1.43095E-14,6.12795E+14,2.51327E+15,,,,,
Blue,21/03/2018 2:37:01 PM +11:00,0.004272461,0.00793457,0.113520952,0.113516016,1837.875229,2144,173,3.82609E-14,7.85906E-14,6.55214E+14,1.94176E+14,,,,,
Blue,21/03/2018 2:37:23 PM +11:00,0.018920898,0.292358398,0.13269132,0.13268476,2085.777413,2144,173,1.34784E-14,1.64341E-14,3.64271E+14,1.82021E+15,,,,,
Red,21/03/2018 2:37:23 PM +11:00,0.015869141,0.246582031,0.034631276,0.034624556,2087.772678,2144,173,1.30384E-14,1.48479E-14,4.64914E+14,2.1603E+15,,,,,
Blue,21/03/2018 2:37:24 PM +11:00,0.014648438,0.266723633,0.131433128,0.131426544,2088.937358,2144,173,1.41765E-14,1.50946E-14,5.36651E+14,2.24698E+15,,,,,
Red,21/03/2018 2:37:24 PM +11:00,0.025634766,0.485229492,0.012977944,0.012971184,2088.898085,2144,173,1.59475E-14,1.38862E-14,6.63919E+14,2.56063E+15,,,,,
White,21/03/2018 2:37:24 PM +11:00,0.010986328,0.181274414,0.051446436,0.051439732,2089.084277,2144,173,1.48218E-14,1.42967E-14,7.33863E+14,2.45674E+15,,,,,
Blue,21/03/2018 2:37:25 PM +11:00,0.015869141,0.244140625,0.132323752,0.132317176,2087.936144,2144,173,1.21698E-14,1.63363E-14,4.15098E+14,1.86636E+15,,,,,
Red,21/03/2018 2:37:25 PM +11:00,0.024414063,0.4296875,0.01287418,0.012867424,2088.274924,2144,173,1.48902E-14,1.3377E-14,8.81066E+14,2.76336E+15,,,,,
White,21/03/2018 2:37:25 PM +11:00,0.017700195,0.238647461,0.071511772,0.071505224,2070.162847,2144,173,1.33887E-14,2.40612E-14,4.79801E+14,2.06647E+15,,,,,
Blue,21/03/2018 2:37:26 PM +11:00,0.017089844,0.264892578,0.13201352,0.132006944,2087.866908,2144,173,1.26771E-14,1.7064E-14,3.06244E+14,1.59282E+15,,,,,
White,21/03/2018 2:37:26 PM +11:00,0.013427734,0.218505859,0.052643,0.052636304,2088.151358,2144,173,1.64953E-14,1.33184E-14,9.82324E+14,2.75822E+15,,,,,
Red,21/03/2018 2:37:27 PM +11:00,0.012817383,0.18737793,0.030680556,0.030673816,2089.812512,2144,173,1.34565E-14,1.51508E-14,5.15067E+14,2.06303E+15,,,,,
White,21/03/2018 2:37:27 PM +11:00,0.012207031,0.184326172,0.050632388,0.050625792,2072.641807,2144,173,1.31763E-14,2.6046E-14,4.01088E+14,1.73558E+15,,,,,
Blue,21/03/2018 2:37:28 PM +11:00,0.015869141,0.228881836,0.112482084,0.112475592,2070.637505,2144,173,1.24313E-14,2.61947E-14,3.44272E+14,1.75385E+15,,,,,
Red,21/03/2018 2:37:28 PM +11:00,0.020141602,0.364990234,0.011714092,0.011707332,2088.587894,2144,173,1.32442E-14,1.4547E-14,5.0784E+14,2.32273E+15,,,,,
White,21/03/2018 2:37:28 PM +11:00,0.009765625,0.155029297,0.05062748,0.050620896,2070.77997,2144,173,1.34369E-14,2.98267E-14,2.72771E+14,1.03175E+15,,,,,
Blue,21/03/2018 2:37:29 PM +11:00,0.017700195,0.252075195,0.111397976,0.111391488,2070.332813,2144,173,1.2492E-14,2.83329E-14,3.06885E+14,1.43504E+15,,,,,
Red,21/03/2018 2:37:29 PM +11:00,0.014038086,0.208129883,0.03014594,0.030139312,2073.002305,2144,173,1.2877E-14,2.5898E-14,3.60037E+14,1.63972E+15,,,,,
White,21/03/2018 2:37:29 PM +11:00,0.021362305,0.319213867,0.05234442,0.052337724,2088.210317,2144,173,1.3052E-14,1.56754E-14,4.43184E+14,2.1163E+15,,,,,
Blue,21/03/2018 2:37:30 PM +11:00,0.026855469,0.502319336,0.13109322,0.131086636,2088.546881,2144,173,1.45262E-14,1.44002E-14,6.54329E+14,2.5371E+15,,,,,
Red,21/03/2018 2:37:30 PM +11:00,0.018920898,0.314941406,0.010289776,0.010283012,2088.873405,2144,173,1.57965E-14,1.31614E-14,9.67691E+14,2.77046E+15,,,,,
White,21/03/2018 2:37:30 PM +11:00,0.017089844,0.287475586,0.069822172,0.0698155,2088.218194,2144,173,1.37779E-14,1.50956E-14,5.13431E+14,2.28247E+15,,,,,
Blue,21/03/2018 2:37:31 PM +11:00,0.018920898,0.297851563,0.11043016,0.110423544,2089.049482,2144,173,1.42659E-14,1.50391E-14,5.25454E+14,2.24282E+15,,,,,
Red,21/03/2018 2:37:31 PM +11:00,0.009765625,0.155639648,0.009022464,0.009015816,2071.215195,2144,173,1.39051E-14,2.22035E-14,5.20219E+14,2.16186E+15,,,,,
Blue,21/03/2018 2:37:32 PM +11:00,0.014038086,0.192871094,0.109101468,0.109094976,2070.283805,2144,173,1.42481E-14,2.67296E-14,3.36338E+14,1.67787E+15,,,,,
Red,21/03/2018 2:37:32 PM +11:00,0.014038086,0.225219727,0.009364236,0.00935748,2087.50273,2144,173,1.36827E-14,1.51629E-14,4.63875E+14,2.03486E+15,,,,,
White,21/03/2018 2:37:32 PM +11:00,0.020141602,0.315551758,0.069747004,0.069740336,2087.852662,2144,173,1.27385E-14,1.60268E-14,3.94853E+14,1.98584E+15,,,,,
Blue,21/03/2018 2:37:33 PM +11:00,0.017089844,0.194702148,0.129454836,0.129448376,2070.361791,2144,173,1.28566E-14,3.14977E-14,2.55499E+14,7.94564E+14,,,,,
Red,21/03/2018 2:37:33 PM +11:00,0.010375977,0.134887695,0.028422368,0.02841564,2087.647585,2144,173,1.35733E-14,1.47713E-14,6.46099E+14,2.28474E+15,,,,,
White,21/03/2018 2:37:33 PM +11:00,0.009765625,0.169677734,0.071625196,0.071618532,2087.846014,2144,173,1.86641E-14,1.31847E-14,1.4402E+15,2.8588E+15,,,,,
Blue,21/03/2018 2:37:34 PM +11:00,0.015258789,0.213623047,0.107485964,0.107479468,2070.779237,2144,173,1.28609E-14,2.67208E-14,3.6363E+14,1.67202E+15,,,,,
Red,21/03/2018 2:37:34 PM +11:00,0.01159668,0.176391602,0.027790384,0.027783764,2071.304228,2144,173,1.34001E-14,2.53129E-14,3.9486E+14,1.80657E+15,,,,,
White,21/03/2018 2:37:34 PM +11:00,0.017089844,0.269165039,0.067530108,0.067523436,2088.117246,2144,173,1.31201E-14,1.53174E-14,4.82569E+14,2.19076E+15,,,,,
Blue,21/03/2018 2:37:35 PM +11:00,0.020751953,0.405883789,0.107596628,0.107590016,2088.462576,2144,173,1.30325E-14,1.59094E-14,4.06145E+14,2.0482E+15,,,,,
Red,21/03/2018 2:37:35 PM +11:00,0.016479492,0.274658203,0.027606012,0.027599276,2088.728674,2144,173,1.28456E-14,1.46626E-14,5.3517E+14,2.29015E+15,,,,,
White,21/03/2018 2:37:35 PM +11:00,0.017700195,0.286254883,0.087190724,0.08718408,2088.585529,2144,173,1.76434E-14,1.60993E-14,3.9113E+14,1.97065E+15,,,,,
Blue,21/03/2018 2:37:36 PM +11:00,0.015869141,0.262451172,0.10698128,0.106974668,2088.193159,2144,173,1.33479E-14,1.41995E-14,6.62782E+14,2.43805E+15,,,,,
Red,21/03/2018 2:37:36 PM +11:00,0.021362305,0.342407227,0.027159648,0.027152912,2088.593776,2144,173,1.43295E-14,1.47668E-14,4.51443E+14,2.2586E+15,,,,,
White,21/03/2018 2:37:36 PM +11:00,0.017089844,0.260009766,0.066429844,0.066423168,2088.547406,2144,173,1.42815E-14,1.46146E-14,6.56776E+14,2.38302E+15,,,,,
